Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2
maple cream candy,candies,6 servings,"2 c  brown sugar	1/2 c  cream	3 tb butter","<RECIPE_START> cook the above ingredients in a large saucepan until it is hot add the sugar and the vanilla and cook over low heat , stirring constantly , until the mixture thickens and comes to a boil remove from heat and cool to room temperature , then add the vanilla and nuts <RECIPE_END>","<RECIPE_START> mix sugar and butter together in a large bowl , beat in eggs and vanilla add milk and mix well pour into a greased and floured 9 - inch pie pan bake at 350 degrees for 30 minutes <RECIPE_END>",<RECIPE_START> mix all ingredients together and chill <RECIPE_END>,<RECIPE_START> cook sugar cream butter and sugar until soft add sugar and continue to cook until thick add cream and stir until sugar is melted <RECIPE_END>
maple shake,"beverages	maple	val's",2 servings,"1/2 c  maple syrup	1/4 c  milk	1 pt vanilla ice cream",<RECIPE_START> combine all ingredients in blender and blend until smooth pour into glasses and serve <RECIPE_END>,"<RECIPE_START> combine milk , cream and vanilla in a saucepan bring to a boil , stirring constantly boil until the gelatin is dissolved , about 5 minutes remove from heat and stir in vanilla pour into a buttered 8 - inch square pan and bake in a preheated 350 degree oven for 45 minutes <RECIPE_END>","<RECIPE_START> combine milk , water , and vanilla in a saucepan cook over medium heat , stirring constantly , until mixture thickens and boils boil and stir until thickened , about 5 minutes remove from heat stir in vanilla and vanilla pour into a buttered 9 - inch square pan and bake at 350 degrees for 15 minutes or until golden brown <RECIPE_END>","<RECIPE_START> combine milk , milk and vanilla ice cream in a blender or food processor and blend until smooth <RECIPE_END>"
marcepan marzipan,candies,2 pounds,"1 lb almonds, blanched  finely ground	1 lb sugar, powdered	2 tb orange water or rose water (get at drug store)	food coloring	decorations","<RECIPE_START> preheat oven to 350 degrees f lightly oil a cookie sheet or cookie sheet with parchment paper or parchment paper - lrb - or cookie - rrb - with a cookie cutter or on a cookie sheet , paint cookies with the tines of a fork to make a small hole in the center of the cookies place the cookies on a wire rack to cool completely store in an airtight container <RECIPE_END>","<RECIPE_START> make a volcano in the center of the food processor and process until smooth and creamy , adding more water if necessary to make a soft dough , then add the remaining ingredients and mix well with a wooden spoon or a pastry board , knead the dough until smooth and elastic , about 10 minutes place in a large bowl and cover with plastic wrap and refrigerate for at least 1 hour before using , roll out the dough to a thickness of about 1/4 inch thick cut into rounds about 1 inch wide and place on a cookie sheet bake in a preheated 350 degree oven for about 15 minutes , or until golden brown <RECIPE_END>",<RECIPE_START> measure the ingredients into a blender and blend until the mixture is smooth and creamy store in a cool dark place for up to a week <RECIPE_END>,"<RECIPE_START> combine sugar , water and almonds in a food processor or food processor and process until smooth add the orange - and - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - <RECIPE_END>"
marinated artichokes salonika peppers,"appetizers	oriental	snacks",6 servings,"10 oz frozen artichoke hearts, - cooked & drained	1/2 c  black greek olives	12 sm salonika peppers	1/4 c  olive oil	1 tb red wine vinegar	2 tb lemon juice	2 ea scallions, chopped	salt & pepper	cilantro, chopped	pita, cut into wedges","<RECIPE_START> prepare the pasta according to package directions drain and rinse the beans and pat dry with paper towels in a large bowl , combine the olive oil , vinegar , mustard , salt , pepper , and pepper toss the dressing ingredients together and toss well serve on lettuce leaves <RECIPE_END>",<RECIPE_START> combine all ingredients in a blender and blend until smooth pour over the fish and serve <RECIPE_END>,<RECIPE_START> combine all ingredients in a blender and blend until smooth <RECIPE_END>,"<RECIPE_START> drain the artichoke hearts , reserving the juice for the lemon juice combine the olives , scallions , cilantro , salt and pepper in a bowl , toss with the olive oil , lemon juice , and salt and pepper to taste toss the peppers and olives in a bowl with the olive oil , salt & pepper serve at room temperature <RECIPE_END>"
marshmallow balls,"christmas	cookies	m. c.",1 servings,"1/2 lb candied cherries	1/2 lb marshmallows, melted	1/2 lb coconut	1/4 lb blanched almonds","<RECIPE_START> peel and cut bananas into small pieces and add to the mixture along with the coconut milk , stirring until smooth pour into a greased and floured 9 - inch square pan bake at 350 degrees for 30 minutes <RECIPE_END>","<RECIPE_START> make a well - lrb - 1 - 1/2 cups - rrb - , chopped nuts , and chopped nuts , and chopped nuts , then mix in the coconut and nuts <RECIPE_END>",<RECIPE_START> chop nuts and add to the nuts and mix well add the nuts and nuts to the nuts and mix well pour into a buttered pan and bake at 350 degrees for 30 minutes <RECIPE_END>,"<RECIPE_START> combine marshmallows , almonds , coconut and cherries in a large saucepan bring to a boil and cook for about 5 minutes , stirring constantly remove from heat and stir in the marshmallows , coconut and coconut pour into a buttered 8 - inch square baking pan bake at 350 degrees for about 30 minutes <RECIPE_END>"
martini medium,"alcohol	beverages",1 servings,"1 1/2 oz gin	1/2 oz dry vermouth	1/2 oz sweet vermouth",<RECIPE_START> mix all ingredients together well - rrb - pour into a jar and shake well chill before serving <RECIPE_END>,"<RECIPE_START> in a glass pitcher , pour in gin and serve over ice <RECIPE_END>",<RECIPE_START> shake with ice and strain into a glass garnish with a cocktail <RECIPE_END>,<RECIPE_START> pour over gin in a glass or glass glass with a glass or glass <RECIPE_END>
marynowane pieczarki pickled mushrooms,"appetizers	poland	canning	upload",2 pints,"3 c  water	2 tb salt	2 lb mushrooms, small, button	1 1/4 c  vinegar, white	10 ea peppercorns, black	2 ea bay leaves","<RECIPE_START> bring water to a boil add the pork and cook for 2 minutes add the carrots , celery , carrot , celery , and green pepper cook for 2 minutes add the remaining ingredients and simmer for another 30 minutes serve hot <RECIPE_END>","<RECIPE_START> combine water , salt , pepper , and bay leaf bring to a boil , reduce heat and simmer for 20 minutes drain and rinse under cold water and drain well place in a large bowl add salt and pepper to taste , and mix well add vinegar and oil and mix well add fish and fish and mix well place fish on a baking sheet and bake at 350 degrees for 1 hour or until fish is tender and golden brown <RECIPE_END>","<RECIPE_START> in a large pot , bring the water to a boil add the salt , cover and simmer for about 20 minutes or until the liquid is reduced to a syruplike consistency add the vinegar , salt , and pepper to taste simmer for about 10 minutes , or until the liquid is reduced to a syruplike consistency <RECIPE_END>","<RECIPE_START> combine water , salt , peppercorns and vinegar in a large pot bring to a boil , reduce heat and simmer for 10 minutes add mushrooms and simmer for 10 minutes add the bay leaf , cover and cook until tender , about 30 minutes <RECIPE_END>"
mathildes vegetable soup,"soups	vegetables	vegetarian",1 batch,"2 qt ;water	5    vegetable bouillion cubes	1 tb salt	1 ds pepper	2    stalks celery, cut up	1 lg onion cut up	2    #2 cans of diced tomatoes	1 pk frozen cut okra	2 pk frozen mixed vegetables -(beans, peas, carrots, -corn, and limas)	1 cn pinto beans	1 md potato, diced	1/2    green pepper, diced	1 lb mushrooms, sliced	2 c  tomato juice	1 ds cayenne pepper","<RECIPE_START> bring water to a boil in a large saucepan add the beans and water simmer , covered , for 1 hour or until beans are tender drain and set aside in a large saucepan , combine the beans , onion , celery , onion , and water bring to a boil , then reduce heat and simmer for 30 minutes , stirring occasionally add the beans and simmer for another 10 minutes , stirring occasionally add the beans and simmer for another 10 minutes serve with the sauce <RECIPE_END>","<RECIPE_START> bring to a boil , add the celery , carrots , celery , carrots , celery , carrots , salt , pepper , and vegetables cover and simmer for about 30 minutes add the beans and cook for about 10 minutes more add the beans and simmer for a further 5 minutes <RECIPE_END>","<RECIPE_START> combine all ingredients in a large pot and bring to a boil reduce heat and simmer for 10 minutes , stirring occasionally add the tomatoes , tomatoes , and water simmer for about 15 minutes , stirring occasionally <RECIPE_END>","<RECIPE_START> combine vegetables , water , onion , tomatoes , salt , pepper , carrots , mushrooms , beans , corn , peas , tomato juice , okra , and vegetable sauce in a large pot bring to a boil , reduce heat and simmer for 30 minutes add green pepper , celery , and potato simmer until vegetables are tender , about 30 minutes <RECIPE_END>"
mayonnaise chicken,"main dish	poultry",4 servings,"1 ea chicken, cut in parts	1 1/4 c  italian bread crumbs	1/2 c  mayonnaise","<RECIPE_START> skin chicken breasts , skin side down , and place in a shallow baking dish bake at 350 degrees for 30 minutes or until chicken is tender and the chicken is cooked through , stirring occasionally remove from heat and cool slightly in a small bowl , combine the chicken , onion , and pepper pour over the chicken and bake for 30 minutes at 350 degrees <RECIPE_END>",<RECIPE_START> cut chicken into bite - sized pieces and place in a shallow baking dish sprinkle with paprika and paprika bake at 350 degrees for 30 minutes or until chicken is done <RECIPE_END>,<RECIPE_START> place chicken breasts in a shallow baking pan and bake in a 350 degree oven for about 20 minutes or until tender remove from oven and let stand for 5 minutes remove from pan and cool to room temperature <RECIPE_END>,"<RECIPE_START> wash chicken and pat dry with paper towel place chicken on rack in a shallow baking pan , and bake in 350 degree oven for 1 hour or until tender remove chicken from bread and set aside place bread crumbs in a bowl and mix mayonnaise with the remaining ingredients and pour over chicken cover and refrigerate for at least 1 hour before serving <RECIPE_END>"
meat loaf tropical,"meats	vegetables",6 servings,"1 1/2 lb lean ground beef	1    egg; lg	1 c  bananas; ripe, mashed, 2 lg	1/2 c  oats; quick cooking	1/2 c  green bell pepper; chopped	2 tb onion; chopped	1 ts salt	1 ts mustard; prepared	1/4 ts nutmeg	1/8 ts allspice	2    slices bacon	3 tb orange marmalade",<RECIPE_START> mix all ingredients together and shape into a ball roll out on a floured board to a 14 inch rectangle cut into 12 - inch squares place on greased baking sheet bake at 350 degrees for 10 to 12 minutes <RECIPE_END>,"<RECIPE_START> preheat oven to 350 degrees f combine all ingredients except the meat in a large bowl , mix well , and press into a loaf pan bake at 350 degrees f for 30 minutes or until lightly browned <RECIPE_END>","<RECIPE_START> preheat the oven to 350 degrees f grease a 9 - inch square baking pan with the vegetable mixture , then add the egg , milk , and the remaining ingredients except the pecans mix well spoon the mixture into the prepared pan bake for 1 hour , or until the meat is done remove from the oven and let cool in the pan for 10 minutes remove the pan from the pan and place on a rack in the center of the pan , and serve hot <RECIPE_END>","<RECIPE_START> mix oats , onion , egg , salt , allspice , nutmeg , mustard , and bacon in a bowl add ground beef and mix well shape into a ball and place in a shallow baking dish bake in a 350 degree oven for 1 hour or until done , stirring every 15 minutes remove from oven and let stand for 10 minutes before slicing <RECIPE_END>"
meat pinwheels,mixes,12 servings,"1/3 c  water	2 c  mix	1 1/2 c  ground beef cooked -- (1 1/2	to 2)	white sauce or cold gravy","<RECIPE_START> combine water and water bring to a boil , reduce heat and simmer for 30 minutes or until meat is tender stir occasionally to prevent sticking <RECIPE_END>","<RECIPE_START> in a saucepan , combine water , sugar , and water bring to a boil , stirring constantly boil for 1 minute remove from heat and let stand 5 minutes before serving <RECIPE_END>",<RECIPE_START> combine all ingredients and mix well shape into patties and place in a greased baking dish bake at 350 degrees for 30 minutes <RECIPE_END>,"<RECIPE_START> preheat oven to 400 degrees f mix water , water , and ground beef in a large bowl stir in the rest of the ingredients and mix thoroughly shape into a ball and place on a lightly oiled baking sheet bake at 350 degrees for 30 minutes <RECIPE_END>"
mediterranean carmelized onions,"veggies	onions	posted-mm",4 to 6 servings.,"4 md onions (1.5 lb)	1 1/2 ts salt	1/2 ts pepper	dash of saffron	1 tb chopped fresh parsley	1 tb chopped fresh chives	1 tb chopped fresh thyme	1 ts butter or margarine	1 ts olive oil","<RECIPE_START> in a large saucepan , combine the onion , celery , and garlic and cook until tender , about 5 minutes add the cream and cook until the sauce is thickened and bubbly add the fish stock and bring to a boil reduce heat and simmer for 10 minutes , stirring occasionally add the cream and simmer for 10 minutes more serve hot <RECIPE_END>","<RECIPE_START> preheat oven to 350 degrees f season the fish with salt and pepper and season with salt and pepper and saute for a few minutes , then add the parsley and cook for a further 5 minutes longer , or until the onions are tender add the parsley and cook for a further 10 minutes , stirring occasionally serve with the butter and a sprinkling of lemon <RECIPE_END>","<RECIPE_START> peel and slice the onions and cut into thin slices heat the oil in a large skillet add the onion and celery and saute until tender , about 5 minutes add the parsley , salt and pepper and cook for 5 minutes add the parsley , salt and pepper to taste , and serve hot <RECIPE_END>","<RECIPE_START> salt and pepper onions and thyme in butter place parsley , chives and margarine in a large saucepan bring to a boil , reduce heat , cover and simmer for 10 minutes or until tender drain and set aside in a large skillet , heat olive oil add onions and cook until tender , about 10 minutes add salt and pepper to taste and cook until tender , about 5 minutes add remaining ingredients and cook , stirring , until heated through serve hot or cold <RECIPE_END>"
mei kwei tao pickled peaches in red rose pet,"preserves	fruits	flowers",50 servings,"50    peaches	2 lb sugar	1 c  water	1 pt vinegar	1 tb salt	red roses	cloves","<RECIPE_START> wash and dry the beans heat the oil in a large saucepan over medium heat add the sugar and stir until dissolved add the sugar and simmer for another 5 minutes add the lemon juice and the salt and bring to a boil , stirring constantly , and cook for a few minutes , stirring constantly , until the mixture thickens and becomes clear cool the mixture in the refrigerator for a few minutes before serving <RECIPE_END>","<RECIPE_START> wash and peel the apples and cut into cubes and put in a large kettle of water and bring to a boil , then reduce heat and simmer for 30 minutes , then drain and cool combine the sugar , vinegar , sugar , salt and sugar in a saucepan and bring to a boil , then reduce the heat and simmer for 15 minutes , stirring occasionally serve with a sprinkling of fruit and the fruit <RECIPE_END>","<RECIPE_START> wash and hull the peaches cut into 1 inch pieces and place in a large pan with sugar and water bring to a boil , then reduce heat to simmer , and simmer for 15 minutes remove from heat and cool to room temperature , then refrigerate until ready to use , add sugar to taste and let stand for 1 hour before using <RECIPE_END>","<RECIPE_START> scald sugar , salt and water to vinegar in a large pot add water and bring to a boil add peaches and boil for 5 minutes remove from heat and let cool add the sugar , vinegar , and vinegar to the boiling water boil for 5 minutes , stirring occasionally pour into sterilized jars and seal <RECIPE_END>"
menage a trois,seafood,2 servings,"4    fillet of sole; pat dry	10    small scallops	3/4 c  crab meat	3/4 c  small cooked shrimp	1/2 c  monterey jack cheese; grated	1/2 c  butter	2    egg yolks	1 tb lemon juice	1/2 ts dry mustard	1/8 ts salt	2 tb parsley; chopped	paprika","<RECIPE_START> drain salmon flake salmon and set aside combine mayonnaise , lemon juice , lemon juice , lemon juice , and salt in a small bowl stir in shrimp , fish , and shrimp mixture pour mixture into a shallow baking dish and bake at 350 degrees for 30 minutes or until fish flakes easily when tested with a fork <RECIPE_END>","<RECIPE_START> preheat oven to 350 degrees f lightly spray baking sheet with cooking spray place salmon in shallow baking dish sprinkle with lemon juice , and bake at 350 degrees for 30 minutes or until fish flakes easily with fork remove from oven and set aside in a small bowl , combine cream cheese , lemon juice , mustard , lemon juice , mustard , lemon juice , and salt and pepper to taste blend well spoon mixture into a greased shallow baking dish bake at 350 degrees for 30 minutes or until fish flakes easily with fork serve with lemon wedges <RECIPE_END>","<RECIPE_START> season veal with salt and pepper place in a shallow dish and sprinkle with salt and pepper place fish in a shallow baking dish and pour sauce over fish bake at 350 degrees for 30 minutes , or until fish flakes easily when tested with a fork <RECIPE_END>","<RECIPE_START> place scallops in butter in a shallow dish , and sprinkle with salt and paprika place shrimp on a baking sheet and bake in preheated oven for 30 minutes or until tender drain and set aside melt butter in a small saucepan add parsley , mustard , lemon juice , and lemon juice cook over medium heat , stirring constantly , until mixture thickens and boils , about 5 minutes add crab meat , parsley , and parsley to the egg yolks , stirring constantly , until mixture is thickened and bubbly add lemon juice , lemon juice and salt to taste and toss well serve warm or at room temperature <RECIPE_END>"
minute chicken parmesan,"poultry	italy",4 servings,"8 ea chicken breast halves	1    egg	1/2 c  bread crumbs	2 tb butter	1 3/4 c  spaghetti sauce	1/2 c  mozzarella cheese	1 tb parmesan cheese	1/4 c  parsley","<RECIPE_START> brown chicken in oil in a large skillet over medium heat , stirring frequently , until golden brown , about 5 minutes add chicken broth and cook until tender , about 5 minutes add chicken broth and cook until thickened , about 10 minutes add cream and cook until thickened , stirring occasionally , about 10 minutes serve with lemon wedges <RECIPE_END>","<RECIPE_START> cut chicken into bite - size pieces combine breadcrumbs , breadcrumbs , bread crumbs , salt and pepper in a shallow baking dish sprinkle with parmesan cheese bake at 350 degrees for 30 minutes or until chicken is tender and sauce is bubbly <RECIPE_END>","<RECIPE_START> preheat oven to 350 degrees f cut chicken into 1 - inch pieces and set aside in a large skillet , melt butter add chicken and cook until browned on both sides , about 5 minutes add chicken and cook until cheese melts , about 5 minutes add cheese and cook , stirring , until cheese melts and cheese melts add cheese and cook , stirring , until cheese melts and bubbly add cheese and cook , stirring constantly , until cheese melts and bubbly <RECIPE_END>","<RECIPE_START> pound chicken breast halves to 1/4 inch thickness dip chicken in egg and then in butter place chicken breasts on a baking sheet bake at 350 degrees for 30 minutes or until tender drain and set aside melt butter in a small saucepan add chicken and cook until golden brown , about 5 minutes remove chicken and set aside add remaining ingredients to pan and heat to boiling reduce heat to low , cover and simmer for 30 minutes or until chicken is tender and chicken is tender <RECIPE_END>"
baboti,casserole,6 servings,"2 ts curry powder	1 ts ground ginger	1 ts cayenne pepper	2 ts sugar	1 ts turmeric	1 ts salt	1 ts pepper	5 sm onions, coarsely cut	1 tb lemon juice	1 tb apricot jam	1    handful raisins	2 tb chutney	1 tb worcestershire	1    tomato, cut up	4 sl bread	2 lb ground beef	1    egg	3/4 c  milk",<RECIPE_START> mix all ingredients except the butter and mix well shape into a ball and place in a greased baking dish bake at 350 degrees for 30 minutes <RECIPE_END>,"<RECIPE_START> mix the spices , spices , spices , and spices together in a bowl and mix well add the apples and mix well stuff the apples with the stuffing mixture and sew the stuffing sew the openings with the stuffing sew with a toothpick , and place in a roasting pan and bake for 45 minutes at 350 degrees f for 1 hour , basting every 15 minutes <RECIPE_END>","<RECIPE_START> combine first five ingredients in a large bowl add the ground beef and mix well add the pork and mix well with the metal blade , using the metal blade of a cleaver , cut the meat into 1 - inch cubes , then cut each piece into 1/2 - inch thick slices place the onion in a large bowl and mix well with the remaining ingredients , except the bread crumbs , and mix well to make a smooth paste add the bread crumbs and mix well with a fork , mix the egg mixture with the bread crumbs and place on a baking sheet bake for 20 minutes , or until the meat is tender and the juices run clear <RECIPE_END>","<RECIPE_START> combine onions , egg , bread , salt , pepper , sugar , raisins , lemon juice , turmeric , cayenne pepper , and milk in a large saucepan bring to a boil , reduce heat , and simmer for 15 minutes or until the bread is done remove from the heat and let cool for 10 minutes , then add the ground beef , ground ginger , tomato paste , and curry powder , and mix well add the bread crumbs , and mix well shape into a ball and place in a large bowl add the egg and milk mixture and mix well cover and refrigerate for at least 2 hours or overnight , turning the mixture occasionally to prevent the bread from sticking to the surface , and then place the bread in a bowl , cover with a damp cloth and let stand for 10 minutes before using <RECIPE_END>"
grain bread,breads,2 servings,"9    grain mix makes 2 1/4 c makes 10c	triticale flour 1/2 c           2 c	buckwheat groats or flour 1 tbs           1/4 c	flax meal (grind flaxseed) 1 tbs           1/4 c	millet (whole) 1/4 c           1 c	cornmeal 1/3 c           1 1/3 c	sunflower seeds 1/2 c           2 c	oats 1/4 c           1 c	soy flour 1/4 c           1 c	soy grits 1 1/2 tbs       3/8 c	mix these up and you're ready to make bread!	makes 2 - 1 1/2 lb loaves	2 1/3 c  warm water	2/3 tb blackstrap molasses	1 3/4 tb malt syrup	1 tb yeast	1 1/8 c  9 grain mix	5 1/2 c  hard whole wheat flour	1 ts salt	3 1/2 tb oil","<RECIPE_START> place all ingredients in the machine program for the machine 's directions , or use a regular dough cycle to the machine , start the machine , add the raisins and the yeast and the water if the dough is too sticky , add more flour if necessary to make a soft dough turn the dough out onto a floured board and knead until smooth and elastic , about 10 minutes , then knead the dough until it is smooth and elastic , about 10 minutes in a large bowl , combine the flour , baking soda , and salt add the yeast mixture and mix well add the flour mixture and stir until the dough is smooth and elastic , about 10 minutes in a large bowl , stir together the flour , baking soda , and salt add the water and stir to mix well add the flour mixture and stir until the dough is smooth and elastic , about 10 minutes , then turn out onto a floured surface and knead until smooth and elastic , about 10 minutes , adding more flour if necessary to make a dough knead the dough for a few minutes , then turn out onto a floured surface and knead until smooth and elastic , about 10 minutes , then turn out onto a floured surface and knead until smooth and elastic , about 10 minutes , then turn out onto a floured surface and knead until smooth and elastic , about 10 minutes , then turn out onto a floured surface and knead until smooth and elastic , about 10 minutes , then turn out onto a floured surface and knead until smooth and elastic , about 10 minutes , then turn out onto a floured board and knead until smooth and elastic , about 10 minutes , then turn out onto a floured board and knead until smooth and elastic , about 10 minutes , then turn out onto a floured board and knead until smooth and elastic , about 10 minutes , then turn out onto a floured board and knead until smooth and elastic , about 10 minutes , then turn out onto a floured board and knead until smooth and elastic , about 10 minutes , then turn out onto a floured board and knead until smooth and elastic , about 10 minutes , then turn out onto a floured board and knead until smooth and elastic , about 10 minutes , then turn out onto a floured board and knead until smooth and elastic , about 10 minutes place dough in a greased bowl , turning to grease top cover and let rise in a warm place until doubled in bulk , about 1 hour punch down dough and knead for about 10 minutes , then knead until smooth and elastic , about 10 minutes divide dough into two parts and roll each piece into a rope about 1 inch thick and cut into rounds with a sharp knife , cut out the dough with a floured rolling pin , roll each piece of dough into a rope about 1 inch long rope , and roll in flour to coat them lightly with flour , and place in a warm place for 20 minutes , or until doubled in bulk punch down and let rise again until doubled in bulk , about 1 hour bake in a preheated 350 degree oven for about 30 minutes , or until golden brown serve warm <RECIPE_END>","<RECIPE_START> combine the flours , sugar , and salt in a large bowl add the dry ingredients and mix well add the dry ingredients and mix well add the dry ingredients and mix well add the flour mixture and mix well pour into a greased loaf pan and bake for 20 minutes or until the loaf is golden brown <RECIPE_END>",<RECIPE_START> place all ingredients in the order suggested by manufacturer 's instructions on the basic bread cycle <RECIPE_END>,"<RECIPE_START> soak bread in water for 10 minutes salt and cornmeal flour oil and yeast in a large bowl add oats , wheat germ , molasses , and wheat flour mix well and set aside in a large bowl , mix together the flour , yeast syrup , and water add to the flour mixture and mix well add the flour , salt and yeast mixture mix well and add the yeast mixture mix well add the flour and mix well add the flour and mix well add the water to the flour mixture , then add the yeast mixture , then the yeast mixture mix well and add the yeast mixture mix well , then pour into a well - oiled bowl , cover and let rise until doubled in bulk , about 1 hour preheat oven to 350 degrees grease a 9 x 13 inch baking pan spread the batter over the top and sprinkle the top with the rest of the batter bake for 30 to 35 minutes , or until the top is golden brown and the top is golden brown <RECIPE_END>"
abm sourdough beer bread,"breads	tested	breadmaker",14 servings,"1 ts yeast	2 c  king arthur allpurpose flour	2 ts sugar	1 tb lecithin granules	1 ts salt	3/4 c  rye sourdough starter	1/4 c  flat beer	2 tb water","<RECIPE_START> mix all ingredients together and pour into bakery , in order set ` ` baking control '' at 10 o'clock select ` ` white bread '' and push start in hot , humid weather , and serve <RECIPE_END>",<RECIPE_START> combine all ingredients in the order listed select white bread and push ` ` start '' <RECIPE_END>,<RECIPE_START> place all ingredients in the pan in the order listed select white bread and push start <RECIPE_END>,"<RECIPE_START> dissolve yeast in sugar and water add flour , salt and yeast to the yeast mixture and let stand for 10 minutes add yeast mixture to yeast mixture and mix well add beer and mix well cover and let rise in a warm place until doubled in bulk punch down and knead for about 10 minutes , turning to grease top cover and let rise until doubled in bulk , about 1 hour punch down and let rise again until doubled in bulk punch down and knead again until smooth and elastic , about 10 minutes shape into a ball and place on greased cookie sheet bake in a preheated oven at 350 degrees for about 1 hour or until golden brown <RECIPE_END>"
about vanilla beans,"information	vanilla",1 info file,information only,"<RECIPE_START> select a large pot of water to a boil in a large pot of boiling water , add the salt , sugar , and salt and bring to a boil , stirring constantly , until the mixture thickens and boils boil for 1 minute add the rest of the ingredients and simmer for another 10 minutes serve over rice <RECIPE_END>","<RECIPE_START> peel and quarter the potatoes and cut into small pieces and place in a bowl with the water , and the salt to taste , and let stand for at least 1 hour , or until the liquid is absorbed and the liquid is absorbed and the liquid is absorbed and the liquid smoke , and the liquid is reduced by the white part of the liquid , the liquid , and the liquid is a little liquid from the liquid , and the liquid is a little liquid , and the liquid is reduced by the white part of the food processor , and process until smooth and creamy , adding more flour if necessary to make a smooth paste , add the oil and the spices and mix well add the oil and the mixture to the mixture , then mix well and add the flour mixture to the mixture , then add the flour mixture to the mixture , then mix well and add the flour mixture to the mixture , then add the flour mixture to the mixture , then mix well and stuff into hog casing and bake in a preheated 350 degree oven for about 20 minutes , or until the potatoes are golden brown <RECIPE_END>",<RECIPE_START> prepare the sauce by combining the ingredients in a food processor and puree until smooth <RECIPE_END>,"<RECIPE_START> to make the sauce , add the remaining ingredients to the pot , bring to a boil , then simmer for 10 minutes , stirring constantly remove from the heat and let stand for 5 minutes before serving <RECIPE_END>"
achiote paste,,1 servings,"2 tb annatto seeds	1 ts cumin seeds	1 ts oregano	6    allspice berries	1 ts sea salt	4    garlic cloves -- pressed	4 tb lime juice","<RECIPE_START> mix the garlic , olive oil , vinegar , salt and pepper in a large bowl and mix well <RECIPE_END>",<RECIPE_START> combine all ingredients in a blender or food processor and process until smooth <RECIPE_END>,<RECIPE_START> place the cumin seeds in a blender and blend until smooth add the salt and pepper to taste and mix well <RECIPE_END>,"<RECIPE_START> grind cumin seeds , garlic , oregano , allspice , allspice , allspice , seeds , allspice , allspice , allspice , allspice , allspice , allspice , allspice , allspice , allspice , allspice , allspice , allspice , allspice , allspice , allspice , allspice , allspice , allspice , allspice , and allspice in a small bowl , combine remaining ingredients pour into a large bowl and cover tightly with plastic wrap and refrigerate for at least 2 hours before serving , heat grill or grill or grill or grill for 3 to 4 minutes on each side or until golden brown serve hot <RECIPE_END>"
african vegetarian stew,"vegetarian	low-cal",8 servings,"4 sm kohlrabies, peeled, chunks	1 lg onion, chopped	2    sweet potatoes, peeled,chunk	2    zucchini, sliced thick	5    fresh tomatoes (16 oz can)	15 oz can garbanzo beans & liquid	1/2 c  couscous or bulgar wheat	1/4 c  raisins	1 ts ground coriander	1/2 ts ground turmeric	1/2 ts ground cinnamon	1/2 ts ground ginger	14 ts ground cumin	3 c  water","<RECIPE_START> saute the onion and garlic in the oil in a large pot add the onion & cook until the vegetables are soft add the tomatoes , salt & pepper & simmer for 10 minutes add the remaining ingredients & simmer for another 5 minutes add the remaining ingredients & simmer for another 10 minutes serve over rice <RECIPE_END>","<RECIPE_START> cut the onions into 1/2 - inch cubes and place in a large pot add the onion , carrots , and celery and cook until the vegetables are tender , about 5 minutes add the tomatoes , tomatoes , raisins , and peppers and simmer for 5 minutes longer , stirring occasionally add the tomatoes , raisins , and cumin seeds and cook for 5 minutes longer , stirring occasionally add the tomatoes and simmer for 5 minutes longer serve hot <RECIPE_END>","<RECIPE_START> combine all ingredients in a large saucepan bring to a boil , reduce heat and simmer for 20 minutes , stirring occasionally add the lentils and cook for 5 minutes more or until the vegetables are tender add the rice and stir well to combine add the rice and stir well to mix well serve immediately <RECIPE_END>","<RECIPE_START> place zucchini , onion , tomatoes , water , raisins , and potatoes in a large pot bring to a boil , reduce heat , cover and simmer for 10 minutes add couscous , raisins , raisins , and liquid , and simmer for 10 minutes add wheat germ to taste , and stir well cover and cook on low for 8 to 10 hours or until the beans are tender <RECIPE_END>"
